Calyear;Deaths;Sex
2002;75845;all
2003;76998;all
2004;75455;all
2005;74990;all
2006;74058;all
2007;74371;all
2008;74645;all
2009;77590;all
2010;75851;all
2011;75124;all
2012;77721;all
2013;78003;all
2014;76774;all
2015;82958;all
2016;78842;all
2017;81311;all
2018;82063;all
2019;81557;all
2020;91195;all
2021;87992;all
2002;35032;male
2003;35365;male
2004;35145;male
2005;34902;male
2006;34633;male
2007;34866;male
2008;34935;male
2009;36534;male
2010;35848;male
2011;35714;male
2012;36403;male
2013;37003;male
2014;36516;male
2015;39548;male
2016;37859;male
2017;38651;male
2018;39674;male
2019;39592;male
2020;44863;male
2021;43847;male
2002;40813;female
2003;41633;female
2004;40310;female
2005;40088;female
2006;39425;female
2007;39505;female
2008;39710;female
2009;41056;female
2010;40003;female
2011;39410;female
2012;41318;female
2013;41000;female
2014;40258;female
2015;43410;female
2016;40983;female
2017;42660;female
2018;42389;female
2019;41965;female
2020;46332;female
2021;44145;female
