Sex;Calyear;Population
male;2002;3906734
male;2003;3929599
male;2004;3952600
male;2005;3984866
male;2006;4014344
male;2007;4030062
male;2008;4042489
male;2009;4056935
male;2010;4066201
male;2011;4078871
male;2012;4098144
male;2013;4123622
male;2014;4155339
male;2015;4200397
male;2016;4272553
male;2017;4312441
male;2018;4338518
male;2019;4357033
male;2020;4378772
male;2021;4396952
female;2002;4156906
female;2003;4170674
female;2004;4189973
female;2005;4216493
female;2006;4239954
female;2007;4252922
female;2008;4265500
female;2009;4278068
female;2010;4285442
female;2011;4296293
female;2012;4309977
female;2013;4328238
female;2014;4352447
female;2015;4384529
female;2016;4427918
female;2017;4460424
female;2018;4483749
female;2019;4501742
female;2020;4522292
female;2021;4535712
