Calyear;Population;Sex
2002;8063640;all
2003;8100273;all
2004;8142573;all
2005;8201359;all
2006;8254298;all
2007;8282984;all
2008;8307989;all
2009;8335003;all
2010;8351643;all
2011;8375164;all
2012;8408121;all
2013;8451860;all
2014;8507786;all
2015;8584926;all
2016;8700471;all
2017;8772865;all
2018;8822267;all
2019;8858775;all
2020;8901064;all
2021;8932664;all
2002;3906734;male
2003;3929599;male
2004;3952600;male
2005;3984866;male
2006;4014344;male
2007;4030062;male
2008;4042489;male
2009;4056935;male
2010;4066201;male
2011;4078871;male
2012;4098144;male
2013;4123622;male
2014;4155339;male
2015;4200397;male
2016;4272553;male
2017;4312441;male
2018;4338518;male
2019;4357033;male
2020;4378772;male
2021;4396952;male
2002;4156906;female
2003;4170674;female
2004;4189973;female
2005;4216493;female
2006;4239954;female
2007;4252922;female
2008;4265500;female
2009;4278068;female
2010;4285442;female
2011;4296293;female
2012;4309977;female
2013;4328238;female
2014;4352447;female
2015;4384529;female
2016;4427918;female
2017;4460424;female
2018;4483749;female
2019;4501742;female
2020;4522292;female
2021;4535712;female
