Sex;Year;Mortality
all;2002;941
all;2003;951
all;2004;927
all;2005;914
all;2006;897
all;2007;898
all;2008;898
all;2009;931
all;2010;908
all;2011;897
all;2012;924
all;2013;923
all;2014;902
all;2015;966
all;2016;906
all;2017;927
all;2018;930
all;2019;921
all;2020;1025
all;2021;985
male;2002;897
male;2003;900
male;2004;889
male;2005;876
male;2006;863
male;2007;865
male;2008;864
male;2009;901
male;2010;882
male;2011;876
male;2012;888
male;2013;897
male;2014;879
male;2015;942
male;2016;886
male;2017;896
male;2018;914
male;2019;909
male;2020;1025
male;2021;997
female;2002;982
female;2003;998
female;2004;962
female;2005;951
female;2006;930
female;2007;929
female;2008;931
female;2009;960
female;2010;933
female;2011;917
female;2012;959
female;2013;947
female;2014;925
female;2015;990
female;2016;926
female;2017;956
female;2018;945
female;2019;932
female;2020;1025
female;2021;973
